lat lon 18O H/D
-77.76917 161.67623 -42.51 -340.90
-77.76924 161.67564 -41.13 -330.90
-77.76931 161.67502 -40.80 -328.10
-77.76949 161.67460 -39.75 -314.70
-77.76962 161.67392 -41.36 -330.60
-77.76970 161.67317 -40.84 -327.00
-77.76982 161.67276 -41.15 -328.90
-77.76997 161.67249 -42.66 -341.50
-77.77009 161.67201 -41.74 -332.60
-77.77019 161.67128 -41.45 -327.80
-77.77036 161.67111 -41.01 -329.80
-77.77048 161.67064 -41.14 -331.80
-77.77063 161.66998 -41.66 -335.30
-77.77078 161.66982 -41.80 -335.50
-77.77087 161.66898 -39.99 -320.90
-77.77104 161.66882 -39.62 -315.40
-77.77117 161.66859 -40.14 -324.40
-77.77126 161.66782 -41.05 -325.40
-77.77138 161.66740 -40.54 -324.90
-77.77159 161.66681 -41.41 -332.30
-77.77168 161.66645 -38.47 -307.70
-77.77173 161.66587 -39.85 -320.10
-77.77225 161.66383 -40.19 -318.90
-77.77252 161.66282 -39.78 -317.00
-77.77278 161.66180 -39.97 -321.50
-77.77304 161.66078 -41.78 -334.00
-77.77330 161.65976 -42.24 -339.20
-77.77373 161.65784 -41.56 -333.80
-77.77394 161.65688 -41.99 -336.20
-77.77415 161.65591 -39.63 -309.60
-77.77437 161.65495 -40.65 -322.70
-77.77458 161.65399 -39.41 -319.80
-77.77509 161.65195 -41.89 -337.20
-77.77534 161.65093 -40.84 -325.40
-77.77559 161.64991 -41.07 -329.40
-77.77585 161.64889 -39.45 -315.30
-77.77610 161.64787 -40.75 -327.90
-77.77657 161.64583 -42.67 -341.70
-77.77681 161.64481 -41.23 -326.60
-77.77704 161.64378 -40.33 -324.90
-77.77728 161.64276 -39.99 -320.20
-77.77751 161.64174 -38.90 -311.10
-77.77808 161.63924 -39.29 -314.30
-77.77837 161.63799 -40.92 -327.10
-77.77865 161.63674 -42.73 -344.60
-77.77894 161.63549 -42.31 -340.40
-77.77922 161.63424 -41.59 -332.20
-77.77966 161.63207 -41.61 -338.40
-77.77988 161.63098 -41.42 -332.40
-77.78009 161.62989 -41.75 -331.10
-77.78031 161.62881 -40.46 -322.80
-77.78053 161.62772 -40.94 -326.20
-77.78101 161.62570 -40.71 -323.40
-77.78125 161.62470 -40.60 -333.40
-77.78148 161.62369 -40.29 -334.40
-77.78172 161.62268 -41.93 -334.50
-77.78196 161.62167 -43.19 -348.10
-77.78243 161.61982 -42.07 -335.50
-77.78267 161.61889 -39.87 -320.10
-77.78291 161.61796 -41.05 -327.40
-77.78314 161.61704 -39.81 -317.90
-77.78338 161.61611 -40.42 -318.70
-77.78385 161.61418 -41.29 -328.60
-77.78409 161.61322 -41.31 -328.70
-77.78432 161.61225 -41.50 -330.30
-77.78456 161.61129 -43.38 -348.30
-77.78479 161.61032 -41.27 -328.20
-77.78532 161.60857 -42.11 -332.80
-77.78558 161.60770 -40.75 -325.00
-77.78584 161.60682 -42.44 -334.50
-77.78611 161.60595 -39.93 -322.10
-77.78637 161.60507 -39.60 -310.30
-77.78690 161.60350 -41.13 -327.90
-77.78717 161.60272 -40.89 -324.10
-77.78743 161.60193 -41.50 -328.50
-77.78770 161.60115 -41.66 -333.80
-77.78796 161.60036 -42.02 -336.10
-77.78862 161.59840 -42.57 -342.20
-77.78896 161.59743 -42.66 -339.00
-77.78929 161.59645 -42.81 -342.60
-77.78962 161.59547 -41.47 -332.70
-77.78995 161.59449 -42.24 -334.80
-77.79075 161.59231 -39.79 -316.70
-77.79115 161.59122 -41.84 -333.60
-77.79155 161.59013 -39.92 -319.20
-77.79195 161.58904 -41.74 -332.30
-77.79235 161.58795 -40.89 -328.00
-77.79319 161.58592 -41.10 -328.20
-77.79361 161.58491 -40.79 -326.60
-77.79403 161.58389 -40.68 -324.20
-77.79445 161.58288 -41.14 -328.30
-77.79502 161.58146 -40.90 -326.40
-77.79531 161.58076 -40.99 -329.00
-77.79560 161.58005 -40.63 -324.00
-77.79588 161.57934 -40.56 -322.70
-77.79617 161.57863 -41.75 -333.20
-77.79676 161.57752 -40.34 -321.60
-77.79706 161.57697 -40.78 -319.00
-77.79735 161.57641 -39.68 -317.30
-77.79765 161.57586 -41.99 -334.10
-77.79794 161.57530 -40.11 -322.10
-77.79853 161.57424 -40.70 -324.40
-77.79883 161.57371 -40.21 -321.00
-77.79912 161.57317 -39.76 -318.10
-77.79942 161.57264 -40.39 -323.50
-77.79971 161.57211 -41.56 -333.30
-77.80029 161.57110 -40.98 -328.70
-77.80059 161.57059 -41.62 -335.40
-77.80088 161.57008 -41.30 -332.40
-77.80117 161.56958 -41.67 -335.50
-77.80146 161.56907 -42.94 -343.20
-77.80206 161.56818 -42.55 -342.80
-77.80237 161.56774 -40.94 -329.40
-77.80267 161.56730 -41.37 -331.40
-77.80297 161.56685 -44.49 -357.30
-77.80327 161.56641 -42.23 -340.00
-77.80387 161.56560 -41.71 -336.10
-77.80417 161.56520 -43.29 -348.00
-77.80447 161.56480 -43.12 -347.00
-77.80477 161.56439 -43.09 -344.40
-77.80507 161.56399 -41.24 -332.10
-77.80569 161.56310 -42.29 -341.40
-77.80600 161.56266 -41.81 -335.50
-77.80631 161.56221 -41.49 -331.80
-77.80662 161.56177 -41.23 -331.30
-77.80693 161.56132 -42.05 -339.90
-77.80755 161.56059 -42.28 -342.50
-77.80786 161.56023 -42.89 -345.70
-77.80816 161.55986 -40.42 -325.10
-77.80847 161.55950 -43.17 -349.90
-77.80878 161.55913 -40.39 -325.60
-77.80942 161.55849 -42.65 -342.00
-77.80974 161.55818 -41.18 -329.30
-77.81005 161.55786 -40.03 -316.80
-77.81037 161.55754 -39.52 -316.60
-77.81069 161.55722 -39.28 -311.80
-77.81131 161.55693 -40.37 -323.00
-77.81162 161.55679 -39.94 -319.50
-77.81193 161.55665 -40.99 -322.60
-77.81224 161.55650 -39.83 -318.50
-77.81255 161.55636 -38.94 -309.40
-77.81321 161.55617 -39.34 -313.20
-77.81354 161.55607 -39.92 -320.00
-77.81387 161.55597 -42.86 -342.20
-77.81420 161.55588 -44.60 -355.80
-77.81453 161.55578 -40.30 -322.00
-77.81515 161.55518 -39.61 -313.20
-77.81546 161.55488 -42.69 -340.20
-77.81577 161.55458 -41.01 -327.90
-77.81608 161.55428 -38.95 -309.80
-77.81639 161.55398 -42.89 -342.20
-77.81701 161.55348 -42.65 -342.70
-77.81732 161.55324 -42.60 -340.90
-77.81762 161.55299 -40.40 -321.30
-77.81793 161.55274 -39.93 -317.90
-77.81824 161.55249 -40.11 -319.30
-77.81887 161.55214 -39.07 -310.20
-77.81918 161.55197 -40.91 -324.30
-77.81949 161.55179 -39.59 -311.00
-77.81981 161.55162 -39.49 -313.40
-77.82012 161.55144 -41.27 -326.50
-77.82075 161.55107 -39.83 -314.40
-77.82107 161.55088 -39.65 -315.20
-77.82138 161.55069 -40.09 -318.60
-77.82170 161.55051 -40.19 -319.00
-77.82201 161.55032 -39.97 -321.50
-77.82269 161.55010 -40.37 -321.20
-77.82303 161.54999 -41.85 -330.10
-77.82337 161.54987 -40.44 -319.20
-77.82372 161.54976 -39.93 -319.60
-77.82406 161.54965 -42.05 -331.90
-77.82440 161.54954 -41.38 -329.30
-77.82474 161.54943 -40.81 -327.90
-77.82508 161.54931 -40.25 -324.00
-77.82542 161.54920 -41.89 -328.70
-77.82576 161.54909 -40.93 -326.10
-77.82640 161.54888 -38.65 -304.10
-77.82672 161.54878 -42.11 -335.50
-77.82704 161.54867 -41.13 -326.00
-77.82736 161.54857 -42.78 -339.20
-77.82768 161.54846 -42.62 -339.30
-77.82830 161.54821 -38.92 -307.50
-77.82861 161.54809 -40.87 -324.30
-77.82892 161.54796 -40.09 -321.00
-77.82923 161.54784 -43.14 -343.90
-77.82954 161.54771 -42.41 -341.10
-77.83016 161.54755 -41.90 -334.40
-77.83047 161.54747 -41.95 -335.00
-77.83078 161.54739 -41.09 -328.10
-77.83109 161.54731 -40.53 -318.60
-77.83140 161.54723 -42.94 -342.10
-77.83204 161.54705 -40.65 -323.70
-77.83237 161.54696 -40.91 -325.40
-77.83269 161.54686 -40.11 -316.40
-77.83301 161.54677 -41.57 -330.80
-77.83333 161.54668 -43.61 -346.90
-77.83395 161.54662 -42.84 -342.20
-77.83427 161.54656 -41.53 -331.10
-77.83458 161.54650 -43.11 -344.50
-77.83489 161.54644 -42.29 -334.10
-77.83520 161.54638 -42.27 -337.40
-77.83579 161.54632 -43.85 -350.20
-77.83608 161.54626 -41.55 -327.30
-77.83637 161.54614 -39.34 -310.70
-77.83651 161.54572 -43.34 -343.50
-77.83676 161.54502 -39.53 -311.60
-77.83701 161.54432 -41.36 -327.30
-77.83726 161.54362 -40.89 -317.30
-77.83776 161.54222 -39.50 -310.80
-77.83804 161.54150 -39.78 -316.80
-77.83832 161.54077 -41.37 -327.20
-77.83860 161.54005 -38.72 -305.10
-77.83887 161.53933 -41.02 -326.50
-77.83943 161.53788 -40.77 -323.90
-77.83977 161.53755 -38.89 -308.40
-77.84012 161.53722 -40.82 -324.80
-77.84046 161.53689 -40.70 -320.20
-77.84080 161.53656 -40.44 -317.20
-77.84149 161.53590 -40.04 -319.00
-77.84177 161.53573 -40.08 -320.50
-77.84206 161.53556 -40.08 -316.90
-77.84234 161.53539 -39.22 -310.70
-77.84262 161.53521 -40.85 -323.10
-77.84319 161.53487 -39.43 -312.60
-77.84349 161.53444 -39.79 -315.40
-77.84378 161.53400 -39.55 -313.20
-77.84408 161.53357 -40.25 -320.00
-77.84437 161.53314 -40.11 -319.90
-77.84496 161.53227 -40.48 -322.00
-77.84526 161.53154 -40.39 -321.00
-77.84555 161.53081 -39.57 -312.50
-77.84585 161.53009 -38.24 -300.20
-77.84615 161.52936 -40.13 -319.20
-77.84674 161.52790 -39.91 -313.60
-77.84728 161.52665 -38.76 -303.50
-77.84756 161.52603 -37.91 -297.50
-77.84783 161.52540 -39.77 -314.80
-77.84810 161.52478 -40.22 -317.10
-77.84837 161.52415 -39.28 -309.60
-77.84893 161.52273 -37.98 -301.40
-77.84922 161.52202 -38.24 -302.90
-77.84950 161.52130 -39.55 -313.30
-77.84978 161.52059 -41.27 -326.20
-77.85006 161.51988 -40.93 -325.00
-77.85062 161.51747 -39.65 -313.00
-77.85090 161.51626 -39.15 -305.50
-77.85118 161.51506 -38.14 -301.60
-77.85146 161.51385 -37.43 -294.50
-77.85194 161.51203 -40.54 -320.00
-77.85218 161.51112 -39.45 -313.00
-77.85242 161.51021 -41.31 -318.80
-77.85266 161.50930 -38.54 -305.30
-77.85290 161.50839 -38.70 -306.50
-77.85341 161.50664 -38.44 -303.80
-77.85367 161.50577 -38.54 -304.60
-77.85392 161.50490 -41.61 -329.90
-77.85418 161.50402 -40.10 -316.50
-77.85443 161.50315 -38.30 -299.50
-77.85490 161.50127 -38.51 -304.50
-77.85513 161.50033 -40.64 -320.40
-77.85536 161.49939 -39.09 -308.80
-77.85560 161.49845 -39.53 -311.80
-77.85583 161.49751 -38.25 -304.00
-77.85626 161.49543 -37.21 -292.20
-77.85648 161.49439 -41.22 -325.90
-77.85670 161.49335 -39.34 -310.20
-77.85691 161.49231 -38.34 -301.70
-77.85713 161.49127 -38.89 -306.00
-77.85760 161.48855 -40.12 -316.80
-77.85784 161.48719 -40.06 -317.30
-77.85808 161.48582 -38.26 -302.30
-77.85831 161.48446 -39.46 -312.50
-77.85855 161.48310 -38.60 -303.80
-77.85887 161.48051 -39.75 -312.80
-77.85903 161.47922 -38.32 -302.70
-77.85919 161.47792 -40.37 -317.70
-77.85935 161.47663 -41.25 -327.10
-77.85951 161.47533 -39.42 -313.20
-77.85982 161.47277 -39.18 -308.90
-77.85997 161.47149 -41.26 -326.10
-77.86012 161.47021 -40.25 -314.20
-77.86028 161.46893 -39.77 -315.90
-77.86076 161.46510 -39.80 -309.80
-77.86092 161.46383 -40.27 -319.80
-77.86108 161.46255 -40.69 -322.70
-77.86125 161.46128 -40.91 -323.80
-77.86141 161.46000 -39.60 -310.20
-77.86174 161.45739 -37.12 -293.80
-77.86190 161.45608 -40.65 -322.10
-77.86206 161.45477 -40.86 -323.60
-77.86223 161.45347 -38.02 -296.00
-77.86239 161.45216 -41.58 -329.10
-77.86272 161.44964 -39.19 -309.50
-77.86289 161.44838 -40.64 -323.50
-77.86306 161.44712 -39.10 -308.30
-77.86322 161.44586 -39.35 -311.90
-77.86339 161.44460 -41.01 -326.00
-77.86366 161.44188 -38.90 -310.10
-77.86380 161.44052 -39.91 -317.00
-77.86393 161.43915 -39.15 -311.70
-77.86407 161.43779 -41.97 -331.90
-77.86420 161.43643 -41.28 -328.50
-77.86438 161.43366 -40.01 -317.50
-77.86447 161.43228 -41.05 -324.50
-77.86456 161.43090 -41.43 -321.60
-77.86465 161.42951 -41.71 -321.60
-77.86474 161.42813 -40.06 -319.50
-77.86487 161.42518 -42.10 -332.40
-77.86493 161.42371 -39.77 -315.50
-77.86499 161.42223 -39.10 -306.30
-77.86506 161.42076 -39.74 -314.90
-77.86509 161.40682 -40.62 -322.90
-77.86511 161.40858 -39.75 -316.30
-77.86512 161.41928 -39.50 -305.30
-77.86512 161.41630 -40.84 -323.60
-77.86513 161.41481 -39.90 -316.00
-77.86513 161.41331 -38.68 -307.80
-77.86513 161.41182 -41.72 -331.20
-77.86513 161.41033 -37.87 -301.90
