lat lon 18O H/D
-77.73658 162.07371 -43.46 -349.80
-77.73659 162.07220 -42.90 -346.10
-77.73660 162.05159 -44.49 -358.50
-77.73660 162.06026 -42.73 -345.30
-77.73660 162.07145 -42.74 -346.30
-77.73660 162.05231 -44.24 -354.10
-77.73660 162.06099 -42.95 -345.80
-77.73661 162.05013 -44.35 -353.90
-77.73661 162.05302 -44.37 -358.90
-77.73661 162.05880 -43.44 -353.40
-77.73661 162.06172 -42.99 -344.40
-77.73661 162.07069 -42.32 -335.70
-77.73661 162.04940 -44.69 -362.40
-77.73661 162.05374 -42.99 -345.70
-77.73661 162.05808 -43.08 -348.00
-77.73661 162.06245 -42.10 -338.20
-77.73661 162.04867 -44.27 -359.00
-77.73661 162.05446 -42.76 -346.40
-77.73661 162.05735 -42.24 -341.90
-77.73661 162.06318 -42.29 -341.40
-77.73661 162.06994 -42.17 -335.90
-77.73662 162.04794 -43.82 -357.40
-77.73662 162.05662 -42.88 -346.20
-77.73662 162.03855 -42.37 -327.20
-77.73662 162.03929 -42.80 -344.10
-77.73662 162.04002 -30.47 -332.50
-77.73662 162.04076 -43.58 -352.80
-77.73662 162.04150 -44.08 -354.60
-77.73662 162.04297 -44.65 -358.50
-77.73662 162.04368 -44.61 -355.40
-77.73662 162.04438 -44.50 -360.60
-77.73662 162.04509 -43.53 -351.50
-77.73662 162.04580 -44.17 -359.10
-77.73662 162.04721 -44.26 -358.30
-77.73662 162.05589 -43.24 -350.10
-77.73662 162.06464 -42.43 -341.50
-77.73662 162.06540 -42.93 -345.30
-77.73662 162.06615 -42.33 -341.10
-77.73662 162.06691 -42.55 -343.30
-77.73662 162.06767 -41.28 -329.90
-77.73662 162.06918 -41.92 -338.30
-77.73662 162.03708 -43.05 -344.90
-77.73663 162.03634 -42.47 -343.30
-77.73663 162.03560 -42.61 -343.90
-77.73663 162.03487 -41.56 -334.00
-77.73663 162.03413 -42.79 -343.80
-77.73665 162.03265 -42.17 -339.50
-77.73666 162.03191 -42.32 -339.10
-77.73666 162.03117 -42.12 -339.70
-77.73667 162.03043 -42.84 -344.30
-77.73668 162.02969 -41.22 -331.40
-77.73669 162.02835 -43.22 -348.20
-77.73670 162.02769 -42.29 -340.60
-77.73670 162.02702 -42.13 -338.30
-77.73671 162.02635 -43.30 -348.30
-77.73677 162.02531 -43.64 -343.80
-77.73683 162.02395 -42.90 -344.50
-77.73686 162.02327 -42.67 -344.70
-77.73688 162.02258 -43.13 -350.00
-77.73691 162.02190 -42.97 -346.30
-77.73694 162.02122 -42.63 -340.20
-77.73698 162.01975 -40.68 -326.90
-77.73700 162.01902 -38.77 -319.50
-77.73702 162.01828 -43.75 -350.40
-77.73704 162.01755 -44.21 -358.60
-77.73706 162.01681 -43.19 -347.20
-77.73711 162.01536 -42.96 -344.20
